,     ,mediaID,groundTruth,labels_detectron,labels_megadetector,labels_openpose,accuracy_detectron,accuracy_megadetector,accuracy_openpose
161,161,05074b3a-15b8-4507-aca8-4451ab5e1951,0,0,0,0,0,0,0
162,162,0507ec8a-5173-4c97-a820-d0b909827a18,1,1,1,1,0.998636305,0.882,0.458214188
163,163,050ec119-c48b-46be-b4c4-d84c71ae0715,1,1,1,0,0.931642115,0.604,0
164,164,0511e24e-22c2-4245-a394-6f0ee344740e,0,0,0,0,0,0,0
165,165,051b1d41-0aaf-48fb-98b1-0d6add7e084a,0,0,0,0,0,0,0
166,166,05219eae-e1e5-4b19-b2ce-df2d35f21e08,0,0,0,0,0,0,0
167,167,0523e5ef-1a25-4417-a662-cb9a4d6cd445,0,0,0,1,0,0,0.217440899
168,168,054d5f7b-db19-43d1-812c-2cc702ac6efc,0,0,0,1,0,0,0.184372637
169,169,0552811a-db19-4e3d-9caa-5e66e37c1b60,1,1,0,1,0.998696625,0,0.839052553
170,170,0552811a-db19-4e3d-9caa-5e66e37c1b60,1,1,0,1,0.998696625,0,0.839052553
171,171,056ab018-53d6-41e9-bd7d-392c942b5821,1,1,0,0,0.942589819,0,0
172,172,0570dde7-3dd6-4ae6-8952-78ceb8813188,0,0,0,0,0,0,0
173,173,05736c44-34c5-441e-a88a-01caa863d53a,0,0,0,1,0,0,0.224852489
174,174,057e46b3-b301-4039-920b-6f464bab2888,1,1,1,1,0.992819726,0.831,0.315887558
175,175,059055b0-05a6-47f9-a64a-944d942ef762,0,0,0,1,0,0,0.209748379
176,176,059bc19f-ff60-4cdb-b0b4-c6996d6909dd,0,0,0,1,0,0,0.209529597
177,177,05a163c7-3c97-4ff7-9e6b-f8bbf62bfbc3,1,1,1,1,0.948569477,0.881,0.284161342
178,178,05a163c7-3c97-4ff7-9e6b-f8bbf62bfbc3,1,1,1,1,0.521708369,0.881,0.284161342
179,179,05b35d2c-f43a-44a8-9a1d-698334cde854,1,1,1,0,0.984539688,0.843,0
180,180,05b5a882-a5ef-4d61-a0e0-65f092f04622,0,0,0,0,0,0,0
181,181,05b8d5c1-6a25-487a-b7d0-724464d85f2e,0,0,0,0,0,0,0
182,182,05b8d5c1-6a25-487a-b7d0-724464d85f2e,0,0,0,0,0,0,0
183,183,05b8d5c1-6a25-487a-b7d0-724464d85f2e,0,1,0,0,0.924563587,0,0
184,184,05b8d5c1-6a25-487a-b7d0-724464d85f2e,0,1,0,0,0.749834299,0,0
185,185,05b8d5c1-6a25-487a-b7d0-724464d85f2e,0,1,0,0,0.749834299,0,0
186,186,05be307e-0f4a-4162-8e03-de85ec68c373,0,0,0,0,0,0,0
187,187,05cb766b-9fe4-44e5-8cc4-ee63f4f68495,0,0,0,0,0,0,0
188,188,05d5a6b5-7c1c-43a2-b992-54663682acc8,0,0,0,0,0,0,0
189,189,05e1a3c0-747d-4578-9c01-b530ba0b52d8,0,0,0,0,0,0,0
190,190,05e1a3c0-747d-4578-9c01-b530ba0b52d8,0,0,0,0,0,0,0
191,191,05e4d3a2-7071-4771-8f6a-696b618516a0,0,0,0,0,0,0,0
192,192,0602b2e3-aa4a-4949-bf0b-4ee8fb2ff1aa,0,0,0,0,0,0,0
193,193,061e58c2-9ebd-4ab5-8fa2-049de4507865,1,1,1,0,0.981413603,0.853,0
194,194,063b33d4-1baf-4a59-9e8c-7edacb1afcac,0,0,0,0,0,0,0
195,195,065fcf3a-6874-4377-9b70-cad7436d8c97,0,0,0,0,0,0,0
196,196,065fcf3a-6874-4377-9b70-cad7436d8c97,0,0,0,0,0,0,0
197,197,065fcf3a-6874-4377-9b70-cad7436d8c97,0,0,0,0,0,0,0
198,198,065fcf3a-6874-4377-9b70-cad7436d8c97,0,0,0,0,0,0,0
199,199,066f5f34-5ebb-4fe5-a26e-7d0fb8b5cd02,0,0,0,0,0,0,0
200,200,06703404-0006-4c65-84d1-145fc6703265,0,0,0,0,0,0,0
201,201,0677a649-8a18-4b36-bad1-028ba909a3b1,0,0,0,0,0,0,0
202,202,0677a649-8a18-4b36-bad1-028ba909a3b1,0,0,0,0,0,0,0
203,203,06822ef8-85dd-4e96-aca3-af76753e65d4,0,0,0,0,0,0,0
204,204,0685659a-78ce-48ae-bce4-33b1d443968b,0,0,0,0,0,0,0
205,205,069153cc-ea21-4214-8334-b03b5ea8cc6d,1,1,1,0,0.983297706,0.643,0
206,206,069153cc-ea21-4214-8334-b03b5ea8cc6d,1,1,1,0,0.752230227,0.643,0
207,207,069153cc-ea21-4214-8334-b03b5ea8cc6d,1,1,1,0,0.752230227,0.643,0
208,208,069153cc-ea21-4214-8334-b03b5ea8cc6d,1,1,1,0,0.752230227,0.643,0
209,209,069153cc-ea21-4214-8334-b03b5ea8cc6d,1,1,1,0,0.752230227,0.643,0
210,210,0693b0a5-5323-402a-86ec-d3c4cfc10809,1,1,1,0,0.884122372,0.747,0
211,211,0693b0a5-5323-402a-86ec-d3c4cfc10809,1,1,1,0,0.852350354,0.747,0
212,212,0693b0a5-5323-402a-86ec-d3c4cfc10809,1,1,1,0,0.852350354,0.747,0
213,213,0693b0a5-5323-402a-86ec-d3c4cfc10809,1,1,1,0,0.686055362,0.747,0
214,214,06ae5dfd-e144-4a35-863c-0e958336385a,0,0,0,0,0,0,0
215,215,06ae5dfd-e144-4a35-863c-0e958336385a,0,0,0,0,0,0,0
216,216,06af69b3-0b3f-4363-827e-d395535994df,1,1,1,0,0.892975748,0.676,0
217,217,06af69b3-0b3f-4363-827e-d395535994df,1,1,1,0,0.868693471,0.676,0
218,218,06af69b3-0b3f-4363-827e-d395535994df,1,1,1,0,0.868693471,0.676,0
219,219,06d33aab-8d08-4143-a046-6784d9aa0686,0,0,0,0,0,0,0
220,220,06de6bd3-d433-403a-ad22-981e3ac0f931,0,0,0,0,0,0,0
221,221,06eb6443-715c-43ba-9cc6-f6e5a546f6a2,0,1,0,1,0.963130653,0,0.244524159
222,222,06ee7219-edf5-4012-ad10-c6b550aa4518,1,0,1,0,0,0.749,0
223,223,06fc3b6a-276f-407d-b550-601769bd0d24,1,1,1,0,0.623304367,0.92,0
224,224,06fc4067-cfd2-4e7d-a427-bfd0f0477d35,1,1,1,1,0.990241051,0.946,0.301132742
225,225,06fc4067-cfd2-4e7d-a427-bfd0f0477d35,1,1,1,1,0.990241051,0.946,0.301132742
226,226,06fc4067-cfd2-4e7d-a427-bfd0f0477d35,1,1,1,1,0.524359763,0.946,0.301132742
227,227,0701aea8-91e6-40b8-ad01-aeede5a18bc3,0,0,0,1,0,0,0.193457106
228,228,070ad3e5-32e0-4f3e-aaa7-2023ff091460,0,0,0,0,0,0,0
229,229,071bd2fe-9853-4471-8e0c-4a1709af3914,1,1,1,0,0.992600739,0.939,0
230,230,072ed3ab-2d05-4500-934b-8447c9d0d43f,1,1,1,0,0.935745895,0.915,0
231,231,073e25a5-e9d4-40cb-8368-b5f0bb589b89,0,0,0,1,0,0,0.298917632
232,232,0744954f-a7f0-42d4-a92c-368b525ab09a,1,1,0,0,0.547063708,0,0
233,233,075d0b12-a7b6-4500-8c2e-d75b59dcf636,0,0,0,0,0,0,0
234,234,075d0b12-a7b6-4500-8c2e-d75b59dcf636,0,0,0,0,0,0,0
235,235,0776651e-b216-4aa6-90cc-d90a624f0514,1,1,0,0,0.945716143,0,0
236,236,07798e85-d292-47e3-9b19-7ce897ea209a,0,0,0,1,0,0,0.181550552
237,237,0782a7fe-41e9-4c54-a577-15e8fb9aa59a,1,0,0,1,0,0,0.219156216
238,238,0782a7fe-41e9-4c54-a577-15e8fb9aa59a,1,0,0,1,0,0,0.219156216
239,239,0782a7fe-41e9-4c54-a577-15e8fb9aa59a,1,0,0,1,0,0,0.219156216
240,240,07885c2b-3c95-4c00-be8c-dfba468f80f2,0,0,0,0,0,0,0
241,241,0789090d-209e-48c5-9f58-c32ff9761ad2,1,1,1,0,0.903931201,0.912,0
242,242,0789090d-209e-48c5-9f58-c32ff9761ad2,1,1,1,0,0.903931201,0.912,0
243,243,0789090d-209e-48c5-9f58-c32ff9761ad2,1,1,1,0,0.628478527,0.912,0
244,244,0789090d-209e-48c5-9f58-c32ff9761ad2,1,1,1,0,0.628478527,0.912,0
245,245,079643e7-8a76-4d35-ac04-fe29064e0867,0,0,0,1,0,0,0.228939659
246,246,079a0d0f-48aa-4cfb-b525-a07f180aa0bc,1,1,0,0,0.868862152,0,0
247,247,079a0d0f-48aa-4cfb-b525-a07f180aa0bc,1,1,0,0,0.868862152,0,0
248,248,079a0d0f-48aa-4cfb-b525-a07f180aa0bc,1,1,0,0,0.868862152,0,0
249,249,07a21bcf-0248-44a2-b870-3d1cd252ef6d,0,0,0,0,0,0,0
250,250,07a306b9-8135-484e-b666-3b98c80358a1,0,0,0,0,0,0,0
251,251,07afcbd6-519c-4a4e-99bf-6dff96b12ad5,0,0,0,1,0,0,0.177566095
252,252,07bb4475-62fd-4005-84b5-06004fe21599,0,1,0,0,0.754849911,0,0
253,253,07bb4475-62fd-4005-84b5-06004fe21599,0,1,0,0,0.754849911,0,0
254,254,07c0485f-2ed9-48bc-83b9-ca365b50f445,0,0,0,1,0,0,0.294651133
255,255,07c538ae-8cd4-4007-87c7-69d694a3305f,0,0,0,0,0,0,0
256,256,07c538ae-8cd4-4007-87c7-69d694a3305f,0,0,0,0,0,0,0
257,257,07c6ac02-d336-417f-8ce4-922c3d8643c2,0,0,0,1,0,0,0.253854746
258,258,07c6ac02-d336-417f-8ce4-922c3d8643c2,0,0,0,1,0,0,0.253854746
259,259,07e23a41-fdd2-4ed1-b1af-4b85992234c0,0,0,0,0,0,0,0
260,260,07e23a41-fdd2-4ed1-b1af-4b85992234c0,0,0,0,0,0,0,0
261,261,07ec2798-28de-4a03-9fa4-e165838e40b5,0,0,0,1,0,0,0.280887336
262,262,08052820-6627-4eed-8396-018a66e95ea8,0,0,0,1,0,0,0.248398686
263,263,0817ad0e-cfb8-4911-8722-b40a7c7c9592,0,0,0,1,0,0,0.23501416
264,264,0817ad0e-cfb8-4911-8722-b40a7c7c9592,0,0,0,1,0,0,0.23501416
265,265,0817ad0e-cfb8-4911-8722-b40a7c7c9592,0,0,0,1,0,0,0.23501416
266,266,0827adb6-d0e4-40a8-9234-bd5f3d0048dc,1,1,1,1,0.998806,0.837,0.517285414
267,267,08282ac4-2901-4d8c-bc04-89bdffea4c88,0,0,0,1,0,0,0.233279401
268,268,082be27b-20db-4db2-8f44-08ce2be28031,0,0,0,0,0,0,0
269,269,0830a61a-2da0-4bc5-afc2-2ecb827dddd9,0,0,0,0,0,0,0
270,270,0833647d-c4d9-4b60-9206-5ceb8714f672,1,1,0,1,0.690969646,0,0.368576539
271,271,0833647d-c4d9-4b60-9206-5ceb8714f672,1,1,0,1,0.690969646,0,0.368576539
272,272,0872de43-3698-4219-9512-d51a11643ae9,0,0,0,0,0,0,0
273,273,08788472-0b6b-44b9-91fc-f1cd07569cea,0,0,0,1,0,0,0.321378816
274,274,08788472-0b6b-44b9-91fc-f1cd07569cea,0,1,0,1,0.682534516,0,0.321378816
275,275,088ac022-4a2c-49cb-81f6-4e75ad730f0a,0,0,0,1,0,0,0.171176861
276,276,08aafc3e-62bd-4d93-9ad9-b1dfefe61b8e,0,0,1,0,0,0.297,0
277,277,08ac35c9-1dea-41e2-ae59-960ba21ed660,1,1,0,0,0.884286165,0,0
278,278,08b00fe3-685c-4b1e-b337-a38a3c40da55,1,0,1,0,0,0.0576,0
279,279,08d7c2c2-64b0-42b3-97ee-9d9e46d5f1fc,1,1,0,0,0.991328657,0,0
280,280,08d9d53c-7430-4aa4-81ad-5148ab2697b9,0,0,0,0,0,0,0
281,281,08f65601-e803-454c-b980-4e7ba9a8c760,0,0,0,0,0,0,0
282,282,08f65601-e803-454c-b980-4e7ba9a8c760,0,0,0,0,0,0,0
283,283,08f8a58e-f5cb-466f-afd7-ff1525b078ae,1,1,0,0,0.902470171,0,0
284,284,08f8a58e-f5cb-466f-afd7-ff1525b078ae,1,1,0,0,0.857861757,0,0
285,285,091c0616-029c-477b-8ae6-10558cfcbd4e,0,0,0,1,0,0,0.34927479
286,286,092f24da-676d-4529-88c5-2c42e6265341,0,0,0,0,0,0,0
287,287,0958cec8-a3f8-4b48-a29e-4014953a6ce7,1,1,1,0,0.897124529,0.867,0
