,ground_truth,detectron-all,score,detectron-0.5,detectron-0.6,detectron-0.7,detectron-0.8
56,1,1,0.928,1,1,1,1
57,1,1,0.928,1,1,1,1
58,0,0,0.0,0,0,0,0
59,0,0,0.0,0,0,0,0
60,0,0,0.0,0,0,0,0
61,0,1,0.561,1,0,0,0
62,0,0,0.0,0,0,0,0
63,0,0,0.0,0,0,0,0
64,0,1,0.81,1,1,1,1
65,1,1,0.997,1,1,1,1
66,0,0,0.0,0,0,0,0
67,0,0,0.0,0,0,0,0
68,0,0,0.0,0,0,0,0
69,0,0,0.0,0,0,0,0
70,0,0,0.0,0,0,0,0
71,0,0,0.0,0,0,0,0
72,0,1,0.557,1,0,0,0
73,1,1,0.661,1,1,0,0
74,1,1,0.995,1,1,1,1
75,0,1,0.546,1,0,0,0
76,1,1,0.924,1,1,1,1
77,1,1,0.995,1,1,1,1
78,0,0,0.0,0,0,0,0
79,0,0,0.0,0,0,0,0
80,0,1,0.558,1,0,0,0
81,1,1,0.917,1,1,1,1
82,0,0,0.0,0,0,0,0
83,0,0,0.0,0,0,0,0
84,0,0,0.0,0,0,0,0
85,0,0,0.0,0,0,0,0
86,0,0,0.0,0,0,0,0
87,0,0,0.0,0,0,0,0
88,0,0,0.0,0,0,0,0
89,0,0,0.0,0,0,0,0
90,1,1,0.984,1,1,1,1
91,0,0,0.0,0,0,0,0
92,0,1,0.995,1,1,1,1
93,0,1,0.973,1,1,1,1
94,0,1,0.965,1,1,1,1
95,0,1,0.962,1,1,1,1
96,0,1,0.914,1,1,1,1
97,0,0,0.0,0,0,0,0
98,1,1,0.996,1,1,1,1
99,0,1,0.794,1,1,1,0
100,0,1,0.794,1,1,1,0
101,0,0,0.0,0,0,0,0
102,0,0,0.0,0,0,0,0
103,0,0,0.0,0,0,0,0
104,0,0,0.0,0,0,0,0
105,0,0,0.0,0,0,0,0
106,0,0,0.0,0,0,0,0
107,1,1,0.973,1,1,1,1
108,0,0,0.0,0,0,0,0
109,1,1,0.953,1,1,1,1
110,0,0,0.0,0,0,0,0
111,0,0,0.0,0,0,0,0
112,0,0,0.0,0,0,0,0
113,0,0,0.0,0,0,0,0
114,0,0,0.0,0,0,0,0
115,0,1,0.817,1,1,1,1
116,0,0,0.0,0,0,0,0
117,1,0,0.0,0,0,0,0
118,1,0,0.0,0,0,0,0
119,0,1,0.991,1,1,1,1
120,0,1,0.99,1,1,1,1
121,0,1,0.95,1,1,1,1
122,0,1,0.775,1,1,1,0
123,0,1,0.694,1,1,0,0
124,0,0,0.0,0,0,0,0
125,0,1,0.846,1,1,1,1
126,0,0,0.0,0,0,0,0
127,0,0,0.0,0,0,0,0
128,0,0,0.0,0,0,0,0
129,0,0,0.0,0,0,0,0
130,1,1,0.957,1,1,1,1
131,1,1,0.932,1,1,1,1
132,1,1,0.932,1,1,1,1
133,0,0,0.0,0,0,0,0
134,1,1,0.999,1,1,1,1
135,1,1,0.999,1,1,1,1
136,1,1,0.999,1,1,1,1
137,1,1,0.999,1,1,1,1
138,0,0,0.0,0,0,0,0
139,1,1,0.946,1,1,1,1
140,0,0,0.0,0,0,0,0
141,0,0,0.0,0,0,0,0
142,0,0,0.0,0,0,0,0
143,1,1,0.897,1,1,1,1
144,1,1,0.516,1,0,0,0
145,1,1,0.921,1,1,1,1
146,1,0,0.0,0,0,0,0
147,1,0,0.0,0,0,0,0
148,0,0,0.0,0,0,0,0
149,0,0,0.0,0,0,0,0
150,0,0,0.0,0,0,0,0
151,1,0,0.0,0,0,0,0
152,1,1,0.923,1,1,1,1
153,1,1,0.742,1,1,1,0
154,1,1,0.742,1,1,1,0
155,1,1,0.673,1,1,0,0
156,1,1,0.673,1,1,0,0
157,0,0,0.0,0,0,0,0
158,0,0,0.0,0,0,0,0
159,0,0,0.0,0,0,0,0
160,0,0,0.0,0,0,0,0
161,0,0,0.0,0,0,0,0
162,1,1,0.999,1,1,1,1
163,1,1,0.932,1,1,1,1
164,0,0,0.0,0,0,0,0
165,0,0,0.0,0,0,0,0
166,0,0,0.0,0,0,0,0
167,0,0,0.0,0,0,0,0
168,0,0,0.0,0,0,0,0
169,1,1,0.999,1,1,1,1
170,1,1,0.999,1,1,1,1
171,1,1,0.943,1,1,1,1
172,0,0,0.0,0,0,0,0
173,0,0,0.0,0,0,0,0
174,1,1,0.993,1,1,1,1
175,0,0,0.0,0,0,0,0
176,0,0,0.0,0,0,0,0
177,1,1,0.949,1,1,1,1
178,1,1,0.522,1,0,0,0
179,1,1,0.985,1,1,1,1
180,0,0,0.0,0,0,0,0
181,0,0,0.0,0,0,0,0
182,0,0,0.0,0,0,0,0
183,0,1,0.925,1,1,1,1
184,0,1,0.75,1,1,1,0
185,0,1,0.75,1,1,1,0
186,0,0,0.0,0,0,0,0
187,0,0,0.0,0,0,0,0
188,0,0,0.0,0,0,0,0
189,0,0,0.0,0,0,0,0
190,0,0,0.0,0,0,0,0
191,0,0,0.0,0,0,0,0
192,0,0,0.0,0,0,0,0
193,1,1,0.981,1,1,1,1
194,0,0,0.0,0,0,0,0
195,0,0,0.0,0,0,0,0
196,0,0,0.0,0,0,0,0
197,0,0,0.0,0,0,0,0
198,0,0,0.0,0,0,0,0
199,0,0,0.0,0,0,0,0
200,0,0,0.0,0,0,0,0
201,0,0,0.0,0,0,0,0
202,0,0,0.0,0,0,0,0
203,0,0,0.0,0,0,0,0
204,0,0,0.0,0,0,0,0
205,1,1,0.983,1,1,1,1
206,1,1,0.752,1,1,1,0
207,1,1,0.752,1,1,1,0
208,1,1,0.752,1,1,1,0
209,1,1,0.752,1,1,1,0
210,1,1,0.884,1,1,1,1
211,1,1,0.852,1,1,1,1
212,1,1,0.852,1,1,1,1
213,1,1,0.686,1,1,0,0
214,0,0,0.0,0,0,0,0
215,0,0,0.0,0,0,0,0
216,1,1,0.893,1,1,1,1
217,1,1,0.869,1,1,1,1
218,1,1,0.869,1,1,1,1
219,0,0,0.0,0,0,0,0
220,0,0,0.0,0,0,0,0
221,0,1,0.963,1,1,1,1
222,1,0,0.0,0,0,0,0
223,1,1,0.623,1,1,0,0
224,1,1,0.99,1,1,1,1
225,1,1,0.99,1,1,1,1
226,1,1,0.524,1,0,0,0
227,0,0,0.0,0,0,0,0
228,0,0,0.0,0,0,0,0
229,1,1,0.993,1,1,1,1
230,1,1,0.936,1,1,1,1
231,0,0,0.0,0,0,0,0
232,1,1,0.547,1,0,0,0
233,0,0,0.0,0,0,0,0
234,0,0,0.0,0,0,0,0
235,1,1,0.946,1,1,1,1
236,0,0,0.0,0,0,0,0
237,1,0,0.0,0,0,0,0
238,1,0,0.0,0,0,0,0
239,1,0,0.0,0,0,0,0
240,0,0,0.0,0,0,0,0
241,1,1,0.904,1,1,1,1
242,1,1,0.904,1,1,1,1
243,1,1,0.628,1,1,0,0
244,1,1,0.628,1,1,0,0
245,0,0,0.0,0,0,0,0
246,1,1,0.869,1,1,1,1
247,1,1,0.869,1,1,1,1
248,1,1,0.869,1,1,1,1
249,0,0,0.0,0,0,0,0
250,0,0,0.0,0,0,0,0
251,0,0,0.0,0,0,0,0
252,0,1,0.755,1,1,1,0
253,0,1,0.755,1,1,1,0
254,0,0,0.0,0,0,0,0
255,0,0,0.0,0,0,0,0
256,0,0,0.0,0,0,0,0
257,0,0,0.0,0,0,0,0
258,0,0,0.0,0,0,0,0
259,0,0,0.0,0,0,0,0
260,0,0,0.0,0,0,0,0
261,0,0,0.0,0,0,0,0
262,0,0,0.0,0,0,0,0
263,0,0,0.0,0,0,0,0
264,0,0,0.0,0,0,0,0
265,0,0,0.0,0,0,0,0
266,1,1,0.999,1,1,1,1
267,0,0,0.0,0,0,0,0
268,0,0,0.0,0,0,0,0
269,0,0,0.0,0,0,0,0
270,1,1,0.691,1,1,0,0
271,1,1,0.691,1,1,0,0
272,0,0,0.0,0,0,0,0
273,0,0,0.0,0,0,0,0
274,0,1,0.683,1,1,0,0
275,0,0,0.0,0,0,0,0
276,0,0,0.0,0,0,0,0
277,1,1,0.884,1,1,1,1
278,1,0,0.0,0,0,0,0
279,1,1,0.991,1,1,1,1
280,0,0,0.0,0,0,0,0
281,0,0,0.0,0,0,0,0
282,0,0,0.0,0,0,0,0
283,1,1,0.902,1,1,1,1
284,1,1,0.858,1,1,1,1
285,0,0,0.0,0,0,0,0
286,0,0,0.0,0,0,0,0
287,1,1,0.897,1,1,1,1
288,1,1,0.897,1,1,1,1
289,0,0,0.0,0,0,0,0
290,0,0,0.0,0,0,0,0
291,1,1,0.799,1,1,1,0
292,0,0,0.0,0,0,0,0
293,0,0,0.0,0,0,0,0
294,0,0,0.0,0,0,0,0
295,0,0,0.0,0,0,0,0
296,0,1,0.697,1,1,0,0
297,0,0,0.0,0,0,0,0
298,0,0,0.0,0,0,0,0
299,1,0,0.0,0,0,0,0
300,0,0,0.0,0,0,0,0
301,1,1,0.939,1,1,1,1
302,0,1,0.875,1,1,1,1
303,0,0,0.0,0,0,0,0
304,1,1,0.883,1,1,1,1
305,1,1,0.883,1,1,1,1
306,0,0,0.0,0,0,0,0
307,0,0,0.0,0,0,0,0
308,0,0,0.0,0,0,0,0
309,0,0,0.0,0,0,0,0
310,0,0,0.0,0,0,0,0
311,0,1,0.578,1,0,0,0
312,1,1,0.953,1,1,1,1
313,1,1,0.603,1,1,0,0
314,1,1,0.929,1,1,1,1
315,1,1,0.62,1,1,0,0
316,1,1,0.62,1,1,0,0
317,1,1,0.863,1,1,1,1
318,0,1,0.805,1,1,1,1
319,0,0,0.0,0,0,0,0
320,0,0,0.0,0,0,0,0
321,0,0,0.0,0,0,0,0
322,0,0,0.0,0,0,0,0
323,1,1,0.742,1,1,1,0
324,1,1,0.742,1,1,1,0
325,0,1,0.981,1,1,1,1
326,0,0,0.0,0,0,0,0
327,0,0,0.0,0,0,0,0
328,1,1,0.994,1,1,1,1
329,0,0,0.0,0,0,0,0
330,0,0,0.0,0,0,0,0
331,0,0,0.0,0,0,0,0
332,0,0,0.0,0,0,0,0
333,0,0,0.0,0,0,0,0
334,1,1,0.98,1,1,1,1
335,0,0,0.0,0,0,0,0
336,0,0,0.0,0,0,0,0
337,0,0,0.0,0,0,0,0
338,0,0,0.0,0,0,0,0
339,0,0,0.0,0,0,0,0
340,0,0,0.0,0,0,0,0
341,0,0,0.0,0,0,0,0
342,1,1,0.802,1,1,1,1
343,0,0,0.0,0,0,0,0
344,0,0,0.0,0,0,0,0
345,0,1,0.989,1,1,1,1
346,0,0,0.0,0,0,0,0
347,0,0,0.0,0,0,0,0
348,0,0,0.0,0,0,0,0
349,0,0,0.0,0,0,0,0
350,1,1,0.994,1,1,1,1
351,0,0,0.0,0,0,0,0
352,0,0,0.0,0,0,0,0
353,1,1,0.921,1,1,1,1
354,0,0,0.0,0,0,0,0
355,0,0,0.0,0,0,0,0
356,0,1,0.655,1,1,0,0
357,1,1,0.909,1,1,1,1
358,0,0,0.0,0,0,0,0
359,0,0,0.0,0,0,0,0
360,0,0,0.0,0,0,0,0
361,0,0,0.0,0,0,0,0
362,0,1,0.922,1,1,1,1
363,1,1,0.966,1,1,1,1
364,1,1,0.966,1,1,1,1
365,1,1,0.634,1,1,0,0
366,0,0,0.0,0,0,0,0
367,0,0,0.0,0,0,0,0
368,0,0,0.0,0,0,0,0
369,0,1,0.828,1,1,1,1
370,1,1,0.942,1,1,1,1
371,0,0,0.0,0,0,0,0
372,0,0,0.0,0,0,0,0
373,0,0,0.0,0,0,0,0
374,0,0,0.0,0,0,0,0
375,0,0,0.0,0,0,0,0
376,0,0,0.0,0,0,0,0
377,0,0,0.0,0,0,0,0
378,0,0,0.0,0,0,0,0
379,0,0,0.0,0,0,0,0
380,1,1,0.502,1,0,0,0
381,0,0,0.0,0,0,0,0
382,0,0,0.0,0,0,0,0
383,0,0,0.0,0,0,0,0
384,0,0,0.0,0,0,0,0
385,0,1,0.994,1,1,1,1
386,0,1,0.974,1,1,1,1
387,0,1,0.964,1,1,1,1
388,0,1,0.943,1,1,1,1
389,0,1,0.917,1,1,1,1
390,0,1,0.884,1,1,1,1
391,0,1,0.674,1,1,0,0
392,0,1,0.55,1,0,0,0
393,0,0,0.0,0,0,0,0
394,1,0,0.0,0,0,0,0
395,0,0,0.0,0,0,0,0
396,0,0,0.0,0,0,0,0
397,0,0,0.0,0,0,0,0
398,1,1,0.958,1,1,1,1
399,0,0,0.0,0,0,0,0
400,1,1,0.769,1,1,1,0
401,1,1,0.769,1,1,1,0
402,1,1,0.536,1,0,0,0
403,0,1,0.923,1,1,1,1
404,0,1,0.871,1,1,1,1
405,0,1,0.7,1,1,0,0
406,0,1,0.7,1,1,0,0
407,0,1,0.7,1,1,0,0
408,0,1,0.7,1,1,0,0
409,1,1,0.539,1,0,0,0
410,0,0,0.0,0,0,0,0
411,0,0,0.0,0,0,0,0
412,0,0,0.0,0,0,0,0
413,0,0,0.0,0,0,0,0
414,0,1,0.545,1,0,0,0
415,0,1,0.528,1,0,0,0
416,0,1,0.528,1,0,0,0
417,0,0,0.0,0,0,0,0
418,1,1,0.999,1,1,1,1
419,0,0,0.0,0,0,0,0
420,0,0,0.0,0,0,0,0
421,0,0,0.0,0,0,0,0
422,1,1,0.916,1,1,1,1
423,0,1,0.991,1,1,1,1
424,0,1,0.991,1,1,1,1
425,0,1,0.546,1,0,0,0
426,0,0,0.0,0,0,0,0
427,0,0,0.0,0,0,0,0
428,0,0,0.0,0,0,0,0
429,0,0,0.0,0,0,0,0
430,1,1,0.628,1,1,0,0
431,1,0,0.0,0,0,0,0
432,1,0,0.0,0,0,0,0
433,1,1,0.907,1,1,1,1
434,1,1,0.871,1,1,1,1
435,1,1,0.822,1,1,1,1
436,1,1,0.822,1,1,1,1
437,0,0,0.0,0,0,0,0
438,0,0,0.0,0,0,0,0
439,0,0,0.0,0,0,0,0
440,0,0,0.0,0,0,0,0
441,1,1,0.7,1,1,0,0
442,1,1,0.986,1,1,1,1
443,0,1,0.929,1,1,1,1
444,0,0,0.0,0,0,0,0
445,0,1,0.985,1,1,1,1
446,0,1,0.946,1,1,1,1
447,0,1,0.946,1,1,1,1
448,0,1,0.946,1,1,1,1
449,0,1,0.628,1,1,0,0
450,0,1,0.628,1,1,0,0
451,0,1,0.628,1,1,0,0
452,0,1,0.501,1,0,0,0
453,0,0,0.0,0,0,0,0
454,0,1,0.634,1,1,0,0
455,0,1,0.634,1,1,0,0
456,0,0,0.0,0,0,0,0
457,0,1,0.751,1,1,1,0
458,0,1,0.751,1,1,1,0
459,1,0,0.0,0,0,0,0
460,0,0,0.0,0,0,0,0
461,1,1,0.98,1,1,1,1
462,1,1,0.847,1,1,1,1
463,0,0,0.0,0,0,0,0
464,1,0,0.0,0,0,0,0
465,1,1,0.538,1,0,0,0
466,0,0,0.0,0,0,0,0
467,0,0,0.0,0,0,0,0
468,0,0,0.0,0,0,0,0
469,1,1,0.997,1,1,1,1
470,0,0,0.0,0,0,0,0
471,0,0,0.0,0,0,0,0
472,1,1,0.998,1,1,1,1
473,1,1,0.998,1,1,1,1
474,1,1,0.54,1,0,0,0
475,0,0,0.0,0,0,0,0
476,1,0,0.0,0,0,0,0
477,1,0,0.0,0,0,0,0
478,0,0,0.0,0,0,0,0
479,0,0,0.0,0,0,0,0
480,0,0,0.0,0,0,0,0
481,0,0,0.0,0,0,0,0
482,0,0,0.0,0,0,0,0
483,0,0,0.0,0,0,0,0
484,1,1,0.97,1,1,1,1
485,0,0,0.0,0,0,0,0
486,1,1,0.866,1,1,1,1
487,1,1,0.866,1,1,1,1
488,1,1,0.523,1,0,0,0
489,0,0,0.0,0,0,0,0
490,0,0,0.0,0,0,0,0
491,0,0,0.0,0,0,0,0
492,0,0,0.0,0,0,0,0
493,0,0,0.0,0,0,0,0
494,0,0,0.0,0,0,0,0
495,0,1,0.973,1,1,1,1
496,0,1,0.963,1,1,1,1
497,0,1,0.763,1,1,1,0
498,0,1,0.763,1,1,1,0
499,0,0,0.0,0,0,0,0
500,0,0,0.0,0,0,0,0
501,1,0,0.0,0,0,0,0
502,1,1,0.767,1,1,1,0
503,0,1,0.659,1,1,0,0
504,1,1,0.896,1,1,1,1
505,0,0,0.0,0,0,0,0
506,0,0,0.0,0,0,0,0
507,1,1,0.997,1,1,1,1
508,0,0,0.0,0,0,0,0
509,0,0,0.0,0,0,0,0
510,0,0,0.0,0,0,0,0
511,0,0,0.0,0,0,0,0
512,1,1,0.954,1,1,1,1
513,1,1,0.83,1,1,1,1
514,0,1,0.993,1,1,1,1
515,0,1,0.993,1,1,1,1
516,0,0,0.0,0,0,0,0
517,1,1,0.928,1,1,1,1
518,0,0,0.0,0,0,0,0
519,0,0,0.0,0,0,0,0
520,1,1,0.761,1,1,1,0
521,1,1,0.761,1,1,1,0
522,0,0,0.0,0,0,0,0
523,0,0,0.0,0,0,0,0
524,1,1,0.992,1,1,1,1
525,1,1,0.985,1,1,1,1
526,0,0,0.0,0,0,0,0
527,0,0,0.0,0,0,0,0
528,0,0,0.0,0,0,0,0
529,1,1,0.57,1,0,0,0
530,0,0,0.0,0,0,0,0
531,0,0,0.0,0,0,0,0
532,0,0,0.0,0,0,0,0
533,1,1,0.687,1,1,0,0
534,0,0,0.0,0,0,0,0
535,0,0,0.0,0,0,0,0
536,0,0,0.0,0,0,0,0
537,0,0,0.0,0,0,0,0
538,1,1,0.999,1,1,1,1
539,0,0,0.0,0,0,0,0
540,0,0,0.0,0,0,0,0
541,1,1,0.999,1,1,1,1
542,0,0,0.0,0,0,0,0
543,0,0,0.0,0,0,0,0
544,0,0,0.0,0,0,0,0
545,0,0,0.0,0,0,0,0
546,0,0,0.0,0,0,0,0
547,1,1,0.896,1,1,1,1
548,1,1,0.799,1,1,1,0
549,0,0,0.0,0,0,0,0
550,1,1,0.957,1,1,1,1
551,1,1,0.957,1,1,1,1
552,0,0,0.0,0,0,0,0
553,0,0,0.0,0,0,0,0
554,0,0,0.0,0,0,0,0
555,0,1,0.88,1,1,1,1
556,0,0,0.0,0,0,0,0
557,1,1,0.996,1,1,1,1
558,1,1,0.996,1,1,1,1
559,1,1,0.996,1,1,1,1
560,1,1,0.932,1,1,1,1
561,1,1,0.737,1,1,1,0
562,0,0,0.0,0,0,0,0
563,0,0,0.0,0,0,0,0
564,0,0,0.0,0,0,0,0
565,0,1,0.949,1,1,1,1
566,0,1,0.632,1,1,0,0
567,0,0,0.0,0,0,0,0
568,0,0,0.0,0,0,0,0
569,1,1,1.0,1,1,1,1
570,0,0,0.0,0,0,0,0
571,0,0,0.0,0,0,0,0
572,0,0,0.0,0,0,0,0
573,0,0,0.0,0,0,0,0
574,0,0,0.0,0,0,0,0
575,0,0,0.0,0,0,0,0
576,0,0,0.0,0,0,0,0
577,0,1,0.566,1,0,0,0
578,0,0,0.0,0,0,0,0
579,1,0,0.0,0,0,0,0
580,0,0,0.0,0,0,0,0
581,1,1,0.986,1,1,1,1
582,0,0,0.0,0,0,0,0
583,0,1,0.917,1,1,1,1
584,0,0,0.0,0,0,0,0
585,0,0,0.0,0,0,0,0
586,1,1,0.889,1,1,1,1
587,0,0,0.0,0,0,0,0
588,0,0,0.0,0,0,0,0
589,0,0,0.0,0,0,0,0
590,0,1,0.887,1,1,1,1
591,0,0,0.0,0,0,0,0
592,0,0,0.0,0,0,0,0
593,1,0,0.0,0,0,0,0
594,1,1,0.764,1,1,1,0
595,1,1,0.764,1,1,1,0
596,1,1,0.764,1,1,1,0
597,0,1,0.564,1,0,0,0
598,0,1,0.564,1,0,0,0
599,0,1,0.643,1,1,0,0
600,0,1,0.643,1,1,0,0
601,0,0,0.0,0,0,0,0
602,0,0,0.0,0,0,0,0
603,0,0,0.0,0,0,0,0
604,0,0,0.0,0,0,0,0
605,0,0,0.0,0,0,0,0
606,0,0,0.0,0,0,0,0
607,0,0,0.0,0,0,0,0
608,0,0,0.0,0,0,0,0
609,1,1,0.993,1,1,1,1
610,1,1,0.785,1,1,1,0
611,0,0,0.0,0,0,0,0
612,0,0,0.0,0,0,0,0
613,0,0,0.0,0,0,0,0
614,0,0,0.0,0,0,0,0
615,1,1,0.791,1,1,1,0
616,0,0,0.0,0,0,0,0
617,1,1,0.692,1,1,0,0
618,0,0,0.0,0,0,0,0
619,0,0,0.0,0,0,0,0
620,0,0,0.0,0,0,0,0
621,0,0,0.0,0,0,0,0
622,0,0,0.0,0,0,0,0
623,0,0,0.0,0,0,0,0
624,0,0,0.0,0,0,0,0
625,0,0,0.0,0,0,0,0
626,0,0,0.0,0,0,0,0
627,0,0,0.0,0,0,0,0
628,0,1,0.852,1,1,1,1
629,0,1,0.501,1,0,0,0
630,0,1,0.966,1,1,1,1
631,1,1,0.98,1,1,1,1
632,0,0,0.0,0,0,0,0
633,0,0,0.0,0,0,0,0
634,0,0,0.0,0,0,0,0
635,0,0,0.0,0,0,0,0
636,0,0,0.0,0,0,0,0
637,0,0,0.0,0,0,0,0
638,0,0,0.0,0,0,0,0
639,0,0,0.0,0,0,0,0
640,0,0,0.0,0,0,0,0
641,1,1,0.999,1,1,1,1
642,1,0,0.0,0,0,0,0
643,1,1,0.928,1,1,1,1
644,1,1,0.562,1,0,0,0
645,1,0,0.0,0,0,0,0
646,1,1,0.992,1,1,1,1
647,0,1,0.75,1,1,1,0
648,0,1,0.75,1,1,1,0
649,0,0,0.0,0,0,0,0
650,1,1,0.928,1,1,1,1
651,0,0,0.0,0,0,0,0
652,0,0,0.0,0,0,0,0
653,1,1,0.999,1,1,1,1
654,1,1,0.999,1,1,1,1
655,0,0,0.0,0,0,0,0
656,0,0,0.0,0,0,0,0
657,0,0,0.0,0,0,0,0
658,0,0,0.0,0,0,0,0
659,0,0,0.0,0,0,0,0
660,0,0,0.0,0,0,0,0
661,0,0,0.0,0,0,0,0
662,0,0,0.0,0,0,0,0
663,0,0,0.0,0,0,0,0
664,0,1,0.786,1,1,1,0
665,1,1,0.998,1,1,1,1
666,0,0,0.0,0,0,0,0
667,0,0,0.0,0,0,0,0
668,1,1,0.981,1,1,1,1
669,1,1,0.561,1,0,0,0
670,0,0,0.0,0,0,0,0
671,0,0,0.0,0,0,0,0
672,0,0,0.0,0,0,0,0
673,0,0,0.0,0,0,0,0
674,0,0,0.0,0,0,0,0
675,0,0,0.0,0,0,0,0
676,0,1,0.687,1,1,0,0
677,0,0,0.0,0,0,0,0
678,0,0,0.0,0,0,0,0
679,0,0,0.0,0,0,0,0
680,0,0,0.0,0,0,0,0
681,1,1,0.978,1,1,1,1
682,1,1,0.502,1,0,0,0
683,1,1,0.996,1,1,1,1
684,1,1,0.996,1,1,1,1
685,1,1,0.996,1,1,1,1
686,1,1,0.996,1,1,1,1
687,1,1,0.507,1,0,0,0
688,0,0,0.0,0,0,0,0
689,0,0,0.0,0,0,0,0
690,0,0,0.0,0,0,0,0
691,0,0,0.0,0,0,0,0
692,0,0,0.0,0,0,0,0
693,0,0,0.0,0,0,0,0
694,0,0,0.0,0,0,0,0
695,0,0,0.0,0,0,0,0
696,0,0,0.0,0,0,0,0
697,0,0,0.0,0,0,0,0
698,0,0,0.0,0,0,0,0
699,0,0,0.0,0,0,0,0
700,0,0,0.0,0,0,0,0
701,0,0,0.0,0,0,0,0
702,1,1,0.995,1,1,1,1
703,1,1,0.995,1,1,1,1
704,1,1,0.995,1,1,1,1
705,0,0,0.0,0,0,0,0
706,0,0,0.0,0,0,0,0
707,0,0,0.0,0,0,0,0
708,1,1,0.893,1,1,1,1
709,0,0,0.0,0,0,0,0
710,0,0,0.0,0,0,0,0
711,1,1,0.827,1,1,1,1
712,1,1,0.951,1,1,1,1
713,1,1,0.755,1,1,1,0
714,1,1,0.591,1,0,0,0
715,0,0,0.0,0,0,0,0
716,0,0,0.0,0,0,0,0
717,0,0,0.0,0,0,0,0
718,0,0,0.0,0,0,0,0
719,0,1,0.99,1,1,1,1
720,1,1,0.947,1,1,1,1
721,0,0,0.0,0,0,0,0
722,0,0,0.0,0,0,0,0
723,0,0,0.0,0,0,0,0
724,0,1,0.555,1,0,0,0
725,0,0,0.0,0,0,0,0
726,0,0,0.0,0,0,0,0
727,0,0,0.0,0,0,0,0
728,1,1,0.979,1,1,1,1
729,1,1,0.652,1,1,0,0
730,1,1,0.631,1,1,0,0
731,1,1,0.787,1,1,1,0
732,1,1,0.982,1,1,1,1
733,0,0,0.0,0,0,0,0
734,0,0,0.0,0,0,0,0
735,0,0,0.0,0,0,0,0
736,1,1,0.937,1,1,1,1
737,0,0,0.0,0,0,0,0
738,1,1,0.892,1,1,1,1
739,1,1,0.644,1,1,0,0
740,1,1,0.644,1,1,0,0
741,0,0,0.0,0,0,0,0
742,1,1,0.991,1,1,1,1
743,0,0,0.0,0,0,0,0
744,0,0,0.0,0,0,0,0
745,1,1,0.999,1,1,1,1
746,0,0,0.0,0,0,0,0
747,0,0,0.0,0,0,0,0
748,0,0,0.0,0,0,0,0
749,0,0,0.0,0,0,0,0
750,0,0,0.0,0,0,0,0
751,1,1,0.953,1,1,1,1
752,0,0,0.0,0,0,0,0
753,0,0,0.0,0,0,0,0
754,0,1,0.835,1,1,1,1
755,0,1,0.582,1,0,0,0
756,0,1,0.582,1,0,0,0
757,1,1,0.921,1,1,1,1
758,1,1,0.877,1,1,1,1
759,1,1,0.77,1,1,1,0
760,1,1,0.508,1,0,0,0
761,0,1,0.51,1,0,0,0
762,0,1,0.669,1,1,0,0
763,0,1,0.669,1,1,0,0
764,0,1,0.669,1,1,0,0
765,0,0,0.0,0,0,0,0
766,0,0,0.0,0,0,0,0
767,0,1,0.697,1,1,0,0
768,0,0,0.0,0,0,0,0
769,0,0,0.0,0,0,0,0
770,0,0,0.0,0,0,0,0
771,0,0,0.0,0,0,0,0
